,address,description,name,value
1371,"Lavington, Nairobi, Nairobi",5 Bedrooms,Units of Town- House in Lavington,KSh 60000000
1372,"kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,Executive 4 Bedroom Apartments For Sale In Kitisuru,KSh 18000000
1373,"Dam Estate, Langata, Nairobi, Nairobi",3 Bedrooms,Langata Apartment,KSh 13000000
1374,"nyangumi road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Exquisite 3 Bedroom +DSQ For Sale In Kilimani Nyangumi Road,KSh 18000000
1375,"Westlands, Westlands, Nairobi, Nairobi",3 Bedrooms,3 Bdrm Apartment For Sale In Westlands,KSh 24000000
1376,"Pangani Nairobi, Parklands, Nairobi, Nairobi",3 Bedrooms,Block Of 10 Apartments For Sale In Parklands Nairobi,Contact seller for price
1377,"shanzu road, Spring Valley, Nairobi, Nairobi",4 Bedrooms,"An Executive and Exclusive Town House ,  Spring Valley",KSh 50000000
1378,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Very Spacious 3 Bedroom Penthouse Apartment In Kilimani,KSh 18500000
1379,"Nanyuki, Laikipia, Rift Valley",4047 Land Size (m²),4047 Sqm Plot of Land in Nanyuki,KSh 500000
1380,"wood avenue, Kilimani, Nairobi, Nairobi",2 Bedrooms,"Nairobi, Kilimani 2 Bedroom Apartment For Sale",KSh 17000000
1381,"Westlands, Nairobi, Nairobi",4 Bedrooms,""" 4 Bedroom Duplex Apartment For Sale""",KSh 105000000
1382,"Club Road, Nakuru, Nakuru, Rift Valley",1 Rooms (total),"1,779 sq.ft Office Suite for sale in Nakuru Town",KSh 15121500
1383,"kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Executive Apartment At Kilimani,KSh 35000000
1384,"Westlands close to st mary's schools and CBD, Westlands, Nairobi, Nairobi",3 Bedrooms,Westlands A Beautiful 3 Bedroom Apartment For Sale With +DSQ,KSh 22000000
1385,"Kitisuru, Kitisuru, Nairobi, Nairobi",4 Bedrooms,Luxurious Single Standalone Family Home In The Heart Of Kitisuru,KSh 105000000
1386,"Mvuli road, Westlands, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment For Sale In Westlands,KSh 20000000
1387,"Naivasha Rd, Uthiru/Ruthimutu, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Modern Apartments For Sale Close To Ilri In Uthiru Area,KSh 7000000
1388,"Runda, Runda, Nairobi, Nairobi",2000 Land Size (m²),05 Acres  of Land for sale  in Runda - 3ke1294460,KSh 37000000
1389,"Marine Park, Malindi, Kilifi, Coast",4 Bedrooms,Four Bedrooms House For Sale In Malindi,KSh 45000000
1390,"Kilimani, Nairobi, Nairobi",3 Bedrooms,"Kilimani, 3 Bedroom Apartment for sale",KSh 19800000
