,address,description,name,value
24,"Syokimau Airport Road, Syokimau, Nairobi, Nairobi",4 Bedrooms,Quality and Affordable 4 Bedroom homes,KSh 12000000
25,"Machakos, Machakos, Machakos, Eastern",NO577LA33OASINTRESKE-NEW Object ID,Kinanie Prime Plots for sale,KSh 995000
26,"Juja South, Juja, Kiambu, Central",3 Bedrooms,Juja South Estate - 3 Bedroom Townhouse,KSh 12000000
27,"Argwings Kodhek Road, Hurlingham, Nairobi, Nairobi",3 Bedrooms,"Kings Distinction, Fully Furnish Apartment For Sale At Hurlingham",KSh 34000000
28,"opposite mangu high school, Nairobi, Nairobi",3 Bedrooms,Umoja Court,KSh 3200000
29,"Kilimani, Kilimani, Nairobi, Nairobi",2400 Building Size (m²),Commercial Office for Sale in Nairobi - 3KE1331551,KSh 42000000
30,"runda, Runda, Nairobi, Nairobi",4 Bedrooms,Attractive Investment Opportunity – 4 Bedroom House in Runda,KSh 82000000
31,"Hekima Road, Karen, Nairobi, Nairobi",4 Bedrooms,Karen Beautiful House In a Gated Community,KSh 95000000
32,"Mavoko Park-Syokimau, Syokimau, Nairobi, Nairobi",4 Bedrooms,4 bedroom all en suite +DSQ at Mavoko Park -Syokimau.,KSh 12000000
33,"kitengela, Kitengela, Kajiado, Rift Valley",3 Bedrooms,Kitengela Houses for sale Spacious and Wonderful finishes,KSh 13000000
34,"Lavington, Lavington, Nairobi, Nairobi",3 Bedrooms,"Kings Pearl, Fully Furnished 3 Bedroom Apartment At Lavington",KSh 30000000
35,"Langata, Langata, Nairobi, Nairobi",4 Bedrooms,Elegant 4 bedroom semi-detached Townhouse in Langata,KSh 32300000
36,"Juja, Kiambu, Central",,Juja South Estate - 4 bedroom Townhouse,KSh 13000000
37,"Athi river, Athi River, Machakos, Eastern",3 Bedrooms,The Exquisite Homes of Sidai Village,KSh 7800000
38,"Juja, Kiambu, Central",3 Bedrooms,GEM JUJA- OFF- PLAN HOUSES- 3 BEDROOM,KSh 3500000
39,"Juja, Kiambu, Central",3 Bedrooms,Nyumba Mia Phase 1,KSh 5000000
40," Lanet, Nakuru, Rift Valley",3 Bedrooms,URITHI HOUSING IMPERIAL HOMES PIPELINE NAKURU,KSh 4950000
41,"Thika Township, Central",3 Bedrooms,SPRING VIEW ESTATE THIKA,KSh 4900000
42,"lower kabete, Lower Kabete, Nairobi, Nairobi",2 Bedrooms,Westmont Spring Gardens,KSh 5800000
43,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Luxurious Apartments For Sale At The Heart Of Kilimani,KSh 19900000
44,"Riverside Drive, Riverside, Nairobi, Nairobi",3 Bedrooms,RUMAISA RESIDENCY- “class takes form”,KSh 38500000
45,"Redhill Limuru Road, Red Hill, Nairobi, Nairobi",5 Land Size (m²),5 Acres  of Land At Redhill,KSh 35000000
46,"Westlands, Nairobi, Nairobi",3 Bedrooms,Finchley Court  Westlands,KSh 25000000
47,"Kibokoni Residence, Malindi, Kilifi, Coast",3 Bedrooms,"3 Bedroom En-Suite Home for sale in Malindi, Kenya",KSh 35000000
48,"Westlands, Westlands, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Apartment  White Oak,KSh 45000000
49,"Syokimau Estate, Syokimau, Nairobi, Nairobi",4 Bedrooms,17 1019 ST This is a true find for a fortunate buyer. 17 06 20,KSh 14000000
50,"Kilimani, Kilimani, Nairobi, Nairobi",NO385CO35GEUINTRESKEA Object ID,Office Space for sale in Kilimani,KSh 21000000
51,"THIKA, Riruta, Gatuanyaga, Central",1100 Land Size (m²),Plot for sale  in Thika (100 By 110) For 2 2 Million,KSh 2200000
52,"1 ¬Ω Kms off Ngong- Kiserian tarmac., Ngong Township, Ngong Township, Rift Valley",1 Land Size (m²),1/8 Acres of Land,KSh 1300000
53,"Daisha Road, Mtwapa, North Coast, Mombasa, Coast",3 Bedrooms,Marina Creekside Luxury Apartments,KSh 10000000
54,"Grevellia Groove 17 01 04, Grevillea Grove, Nairobi, Nairobi",10 Bedrooms,17 1020 SR Outstanding opportunity to own this prime residential complex. 17 01 04,KSh 240000000
55,"Kindaruma Road, Kilimani, Nairobi, Nairobi",8624 Land Size (m²),Prime Plot in Kilimani,Contact seller for price
56,"Karen , Fair arces, Karen, Nairobi, Nairobi",4047 Land Size (m²),"Prime 10 Acre Plot  of Land in Karen, Fair Acre",KSh 60000000
57,"Kindaruma rd, Kilimani, Nairobi, Nairobi",3 Bedrooms,"3 BEDROOM APARTMENT WITH A DSQ AND DUPLEXES,",KSh 22000000
58,"Nachu, Nachu, Nachu, Central",506 Land Size (m²),50*100 Prime Plots for sale  in Kikuyu-Nachu,KSh 150000
59,"Muringa Road, Kilimani, Nairobi, Nairobi",3 Bedrooms,Lovely Apartment in Kilimani,KSh 26000000
60,"Loresho Waiyaki Way, Loresho, Nairobi, Nairobi",4 Bedrooms,17 1015 ST A classically propotioned family home 17 0110,KSh 33000000
61,"4 Bedroom Villa For Sale In Karen, Karen, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Villa For Sale In Karen,KSh 90000000
62,"Mombasa Road, Athi River, Athi River, Eastern",52609 Land Size (m²),Prime Light Industrial Land in Athi River,Contact seller for price
63,"Westlands, Nairobi, Nairobi",3 Bedrooms,The Residences  Westlands,KSh 50000000
64,"Parklands, Nairobi, Nairobi",3 Bedrooms,Almond Court  Parklands,KSh 23000000
65,"Off Peponi Road, Spring Valley, Nairobi, Nairobi",5 Bedrooms,17 1042 ST Remarkable corner townhouse - Superb investment opportunity. 17 10 12,KSh 80000000
66,"Masai Mara, Masai Mara, Narok, Rift Valley",424920 Land Size (m²),Prime Commercial Land in Masai Mara,Contact seller for price
67,"Muigai Prestige Avenue, Kitengela, Kajiado, Rift Valley",506 Land Size (m²),Prime Plots in Kitengala,KSh 1600000
68,"7 Bedroom Bungalow On 0.75 Acres, Lavington, Nairobi, Nairobi",7 Bedrooms,7 Bedroom Bungalow On 0.75 Acres,KSh 295000000
69,"Hekima Road, Karen, Nairobi, Nairobi",4 Bedrooms,Beautiful House In A Gated Community,KSh 75000000
70,"Parklands, Parklands, Nairobi, Nairobi",4 Bedrooms,Ashirwaad,KSh 35000000
71,"Woodlands road Hurligham, Hurlingham, Nairobi, Nairobi",13 Rooms (total),13 Bedroom Commercial Property for sale in Hurlingham,KSh 150000000
72,"Riabai Road,Kiambu Township ,Kiambu Central Kenya, Kiambu Township, Kiambu, Central",500 Land Size (m²),Kiambu Migaa Golf Estate Eigth Acre Plot,KSh 4000000
73,"Off Peponi Road, Spring Valley, Nairobi, Nairobi",4 Bedrooms,17 1039 ST Architecturally designed magnificence villa 17 10 12,KSh 55000000
74,"Syokimau, Syokimau, Nairobi, Nairobi",5 Land Size (m²),5-Acre Piece  of Land - Syokimau,KSh 90000000
75,"wamagata court, Woodley, Nairobi, Nairobi",2 Bedrooms,New 2 Bedroom Apartments For Sale In Woodley Springs In Woodley,KSh 10500000
76,"Uthiru, Naivasha Road, Uthiru/Ruthimutu, Nairobi, Nairobi",3 Bedrooms,Executive Apartment at Naivasha Road,KSh 9000000
77,"5 Bedroom Villa For Sale In Karen, Karen, Nairobi, Nairobi",5 Bedrooms,5 Bedroom Villa For Sale In Karen,KSh 100000000
78,"Hurlingham, Hurlingham, Nairobi, Nairobi",4 Bedrooms,Large 4 bedroom Masionette in Hurlingham for Sale,KSh 26000000
79,"Imara Daima, Imara Daima, Nairobi, Nairobi",4 Bedrooms,A Spacious And Stylish 4 Bedroom Town House In Imara Daima,KSh 18000000
80,"RUAKA, Ruaka, Nairobi, Nairobi",506 Land Size (m²),"Land At Ruaka  (50*100)  For 16,000,000",KSh 16000000
81,"Masai West Road, Karen, Nairobi, Nairobi",2023 Land Size (m²),Prime Plot in Karen,KSh 35000000
82,"Ngong-Kibiko, Ngong Township, Ngong Township, Rift Valley",NO551LA04OUDINTRESKE-NEW Object ID,Land for sale  in Ngong-Kibiko,KSh 2200000
83,"Lower Kabete, Lower Kabete, Nairobi, Nairobi",5 Bedrooms,5 Bedroom House for sale in Westlands,KSh 155000000
84,"Casuarina, Malindi, Kilifi, Coast",NO776CO83ZTOINTRESKEA Object ID,"Location Is Key!!!- Land For Sale In Malindi,Kenya",KSh 5000000
85,"Kitisuru Estate, Kitisuru, Nairobi, Nairobi",5 Bedrooms,17 1006 ST Modern living for the new lucky owner. 17 09 29,KSh 120000000
86,"Westlands-Rhapta Road 17 10 12, Westlands, Nairobi, Nairobi",3 Bedrooms,17 1012 SA A prime asset exuding elegance and understated class . 17 10 12,KSh 29000000
87,"Mwiki-Kasarani, Kasarani, Nairobi, Nairobi",5 Bedrooms,MWIKI HOUSE,KSh 15000000
88,"South C, South C, Nairobi, Nairobi",4 Bedrooms,4 Bedroom House Available For Sale In South C,KSh 20000000
89,"Kitengela, Kitengela, Kajiado, Rift Valley",4 Bedrooms,4 Bedroom House Available For Sale In Kitengela,KSh 17000000
90,"Ngong Road., Ngong Road, Nairobi, Nairobi",1 Rooms (total),"Commercial Space For Sale 6,119 Sq Ft ( Ready Tenant Monthly Income 905,541",Contact seller for price
91,"4 Bedroom Villa For Sale In Karen, Karen, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Villa For Sale In Karen,KSh 88000000
92,"Woodley, Woodley, Nairobi, Nairobi",3 Bedrooms,WOODLEY SPRINGS APARTMENTS,KSh 15000000
93,"Mombasa Road, opposite Syokimau, Mombasa Road, Nairobi, Nairobi",3 Bedrooms,17 1017 SA Hidden jewel in an extremely quiet environment 16 04 09,KSh 7800000
94,"Riruta, Nairobi, Nairobi",5 Bedrooms,Modern Luxurious 5 bedroom townhouse in Kitengela for sale,KSh 20000000
95,"Yaya Centre, Yaya Centre, Nairobi, Nairobi",4 Bedrooms,Beautiful 4 Bedroom Penthouse In Yaya,KSh 27000000
96,"KAJIANDO, Kajiado, Kajiado, Rift Valley",,20 Acres of Land for sale in Kajiando,KSh 50000000
97,"Rosslyn, Nairobi, Nairobi",4 Bedrooms,Lovely modern 4 bedroom villa for Sale - Nyari,KSh 70000000
98,"Rimpa, Ongata Rongai, Ongata Rongai, Rift Valley",4 Bedrooms,4 BR House,KSh 8000000
99,"off Rhapta Road, Westlands, Nairobi, Nairobi",4 Bedrooms,"4 Bedroom Maisonette, off Rhapta Rd",KSh 30000000
100,"MOMBASA ROAD, Syokimau, Nairobi, Nairobi",NO075LA34PARINTRESKE-NEW Object ID,1/4 Acre Plot for sale  in Syokimau,KSh 5200000
101,"Kitengela, Kitengela, Kajiado, Rift Valley",3 Bedrooms,3 Bedroom Maisonettes In Kitengela,KSh 11000000
102,"near Ngong Road, Junction Mall, Ngong Road, Nairobi, Nairobi",1 Bedrooms,"Modern And Luxurious One Bedroom Apartment Near Junction Mall, Near Ngong Road",KSh 6500000
103,"Runda, Runda, Nairobi, Nairobi",4 Bedrooms,"Beautiful 4 Bedroom Villas For Sale, Runda",KSh 75000000
104,"Ngong, Kerarapon, Ngong Township, Ngong Township, Rift Valley",1012 Land Size (m²),"1/4 Acre Plot of Land in Ngong, Kerarapon",KSh 8000000
105,"Marula Ln Nairobi, Karen, Karen, Nairobi, Nairobi",200000 Land Size (m²),2 Acres Vacant Land  for Sale Karen 98m,KSh 98000000
106,"Kitengela, Kitengela, Kajiado, Rift Valley",2 Land Size (m²),"Plot of Land at  Bustani I, Ii",KSh 1895000
107,"Ongata Rongai, Ongata Rongai, Kajiado, Rift Valley",1012 Land Size (m²),Quarter Acre Piece of Land in Ongata Rongai,KSh 1300000
108,"Njaithani, Kiambu Township, Kiambu, Central",4 Bedrooms,4 BR House and DSQ,KSh 38000000
109,"Njumbi Road, Lavington, Nairobi, Nairobi",5 Bedrooms,"5 Bedroom House for sale, Lavington",KSh 85000000
110,"Westlands, Brookside, Nairobi, Nairobi",4 Bedrooms,A Stunning Modern Development Of 48 Houses In Westlands,Contact seller for price
111,"Athi River, Athi River, Machakos, Eastern",3 Bedrooms,Well Finished 3 Bedroom All Ensuite Maisonettes in Athi River,KSh 12000000
112,"Rossyln Lone Tree Estate, Rosslyn, Nairobi, Nairobi",4 Bedrooms,New  4 Bedroom Villas plus sq  for sale close To Rossylin Rivera,KSh 66300000
113,"Karen, Karen, Nairobi, Nairobi",2024 Land Size (m²),Half (1/2) Acre Land in Karen,KSh 30000000
114,"Nyeri, Nyeri, Central",464 Land Size (m²),Golden Green Estate Nyeri,KSh 2250000
115,"Isinya, Isinya, Kajiado, Rift Valley",,Isinya Plot,KSh 2500000
116,"Karen, Nairobi, Nairobi",2050 Land Size (m²),Prime 1/2 for sale  in Karen,KSh 30000000
117,"RUAKA, Ruaka, Nairobi, Nairobi",4330 Land Size (m²),1.07 Acres of Land at Ruaka,KSh 100000000
118,"Ruiru, Ruiru, Nairobi, Nairobi",4 Bedrooms,RUIRU TOWN HOUSES,KSh 35000000
119,"Nyayo, Embakasi Estate, 17 05 28, Nyayo Estate, Nairobi, Nairobi",3 Bedrooms,17 1034 SA Superb potential in owning an exceptional three bedroom apartment. 17 05 28,KSh 8000000
120,"Syokimau, Syokimau, Nairobi, Nairobi",NO453LA36PYPINTRESKE-NEW Object ID,Acre of  Land in Syokimau,KSh 6500000
121,"Lavington, Nairobi, Nairobi",5 Bedrooms,Spacious 5 bedroom townhouse for sale in Lavington,KSh 72000000
122,"Kitengela, Kitengela, Kajiado, Rift Valley",506 Land Size (m²),Fully Serviced 1/8 An Acre Plots for sale  in,KSh 850000
123,"Cowrie Shell Apartments, Bamburi, Mombasa, Coast",1 Bedrooms,Apartment For Sale,KSh 13500000
124,"Ruiru, Ruiru, Ruiru, Central",2 Bedrooms,"2 Bedroom Apartment At Ruiru, Near Nairobi Institute",KSh 6000000
125,"chalbi drive, Lavington, Nairobi, Nairobi",4 Bedrooms,Chalbi Drive Homes,KSh 75000000
126,"Lavington, Nairobi, Nairobi",4 Bedrooms,Fantastic 4 Bedroom Town House in Lavington,KSh 50000000
127,"Old Namanga Rd, Kitengela, Kajiado, Rift Valley",3 Bedrooms,Exquisite 3 bedroom maisonettes plus sq for sale under construction in Kitengela.,KSh 10000000
128,"Ololua Ngong, Ngong Township, Ngong Township, Rift Valley",4 Bedrooms,4 bedroom house for sale in Ngong-Ololua.,KSh 13500000
129,"Rimpa, Ongata Rongai, Ongata Rongai, Rift Valley",4 Bedrooms,4 Bedroom House  at Ongata Rongai,KSh 18000000
130,"Kibokoni Residence, Malindi, Kilifi, Coast",3 Bedrooms,"3 Bedroom En-suite Home for Sale in Malindi, Kenya.",KSh 35000000
131,"Ongata Rongai, Acacia, Ongata Rongai, Kajiado, Rift Valley",4 Bedrooms,"Beautiful 4 Bedroom House in Ongata Rongai, Acacia",KSh 5600000
132,"Golf Beach Road, Malindi, Kilifi, Coast",1000 Land Size (m²),"Prime 1/4 Acre Lots for sale  in Malindi, Kenya",KSh 5000000
133,"Ngong - Matasia, Ngong Township, Ngong Township, Rift Valley",3 Bedrooms,3 Bedroom House,KSh 5600000
134,"Kirinyaga road, CBD, Nairobi, Nairobi",2 Bedrooms,Block Of Spacious Apartments Along Kirinyaga Road,KSh 165000000
135,"Njumbi Road, Lavington, Nairobi, Nairobi",4 Bedrooms,Luxury Townhouses In Lavington,KSh 110000000
136,"Nyari, Nairobi, Nairobi",3641 Land Size (m²),Land at Nyari Estate,KSh 90000000
137,"Vipingo, Vipingo, Coast",5000 Land Size (m²),Vipingo Gardens,KSh 2800000
138,"Ongata Rongai, Ongata Rongai, Ongata Rongai, Rift Valley",3 Bedrooms,3 Bedroom House,KSh 8000000
139,"Ongata Rongai, Ongata Rongai, Kajiado, Rift Valley",4 Bedrooms,Lavish 4 Bedroom House in Ongata Rongai,KSh 13500000
140,"Unnamed Road Bamburi, Bamburi, Mombasa, Coast",3 Bedrooms,3 Bedroom Apartment For Sale In Bamburi,KSh 5200000
141,"SERENA, shanzu, Mombasa, Coast",1 Bedrooms,SEA FRONT APARTMENTS FOR SALE,KSh 22000000
142,"Kiambere Rd, Upper Hill, Nairobi, Nairobi",1 Rooms (total),"1,056 sq.ft office space for sale on the 8th floor in Nachu Plaza in Upper Hill.",KSh 17761920
143,"Ongata Rongai - Rangau, Ongata Rongai, Kajiado, Rift Valley",506 Land Size (m²),1/8 of An Acre Plot in Ongata Rongai - Rangau,KSh 800000
144,"Waiyaki Way, Nairobi, Nairobi",4 Bedrooms,4Bedroom Maissonete Sigona,KSh 11500000
145,"Ongata Rongai, Ongata Rongai, Kajiado, Rift Valley",4 Bedrooms,Elegant 4 Bedroom House and DSQ in Ongata Rongai,KSh 20000000
146,"Old Namanga Rd, Kitengela, Kajiado, Rift Valley",4 Bedrooms,Exquisite 4 bedroom maisonettes plus sq for sale under construction in Kitengela.,KSh 10750000
147,"Ongata Rongai, Ongata Rongai, Ongata Rongai, Rift Valley",3 Bedrooms,"SIENNA VILLAS- RIMPA, ONGATA RONGAI",KSh 8750000
148,"KATANI, Katani, Nairobi, Nairobi",1011 Land Size (m²),1/8 Acre Plot for sale  in Katani,KSh 2000000
149,"Karen-Bogani, Karen, Nairobi, Nairobi",NO551LA09OTYINTRESKE-NEW Object ID,Land for sale  in Karen-Bogani,KSh 32000000
150,"Gatura Road, Thika Township, Thika Township, Central",4 Bedrooms,"4 Bedroom Townhouse For Sale In Thika, Kiambu",KSh 13000000
151,"Runda, Nairobi, Nairobi",1011 Land Size (m²),Runda Mhasibu_1/4 Acre for sale,KSh 16000000
152,"Ruaka Road, Runda, Nairobi, Nairobi",6070 Land Size (m²),Prime Plot of Land at Ruaka Road,KSh 125000000
153,"Ibis Drive, Nyari, Nairobi, Nairobi",5 Bedrooms,Luxury House In Nyari,KSh 240000000
154,"Mugutha, Ruiru, Nairobi, Nairobi",3 Bedrooms,"3 Bedroom Bungalow For Sale In Mugutha, Ruiru, Kiambu",KSh 65000000
155,"Ongata Rongai - Nkoroi, Ongata Rongai, Kajiado, Rift Valley",3 Bedrooms,Exquisite 3 Bedroom House in Ongata Rongai - Nkoroi,KSh 7800000
156,"Waiyaki Way, Nairobi, Nairobi",3 Bedrooms,Kv Homes Waiyaki Way,KSh 8900000
157,"Mnarani club, Kilifi, Kilifi, Coast",NO339LA95MVOINTRESKE-NEW Object ID,Beach Plot for sale  40% Sold,KSh 2500000
158,"Rangau, Ongata Rongai, Ongata Rongai, Rift Valley",1 Land Size (m²),1 Acre of  Land in Ongata Rongai,KSh 6000000
159,"Spring Valley, Nairobi, Nairobi",5 Bedrooms,Stunning 5 Bedrooms Town House For Sale In Gated Community,KSh 65000000
160,"Karen, Karen, Nairobi, Nairobi",3 Bedrooms,Beautiful 3 Bedroom House On An Acre Piece Of Land In Karen - Winridge,KSh 65000000
161,"Ongata Rongai, Ongata Rongai, Rift Valley",3 Bedrooms,3 Bedroom House for sale in Ongata Rongai-Rimpa.,KSh 6500000
162,"Pan Africa Insurance Avenue, Runda, Nairobi, Nairobi",4 Bedrooms,Elegant Houses In Runda,KSh 76500000
163,"Loresho, Nairobi, Nairobi",4 Bedrooms,Water Front Garden,KSh 33000000
164,"Kajiado, Nairobi, Nairobi",80937 Land Size (m²),Land for sale  _ Kajiado,KSh 13000000
165,"Athi River, Athi River, Eastern",,3 Acre of  Land for sale in Athi River,KSh 25000000
166,"Runda, Nairobi, Nairobi",4 Bedrooms,Runda Homes,KSh 37000000
167,"B8 Mambrui, Malindi, Kilifi, Coast",1 Bedrooms,1 Bedroom House For Sale In Malindi,KSh 3300000
168,"karen, Karen, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Maisonette Karen For Sale,KSh 80000000
169,"Westlands, Nairobi, Nairobi",4 Bedrooms,"4 Bedroom Maisonette for Sale, Westlands",KSh 38000000
170,"Unnamed Road, Mtwapa, Kilifi, Coast",1012 Land Size (m²),Vacant Land For Sale In Kikambala,KSh 5750000
171,"boutyard, Kilifi, Kilifi, Coast",2 Bedrooms,HOUSE FOR SALE 96% SOLD,KSh 4500000
172,"Diani Beach Road Diani Beach, Diani, Mombasa, Coast",1012 Land Size (m²),Vacant Land For Sale In Diani,KSh 2500000
173,"Ongata Rongai, Nkoroi, Ongata Rongai, Kajiado, Rift Valley",4 Bedrooms,"Elegant 4 Bedroom House in Ongata Rongai, Nkoroi.",KSh 15000000
174,"Mombasa Road, Nairobi, Nairobi",4 Bedrooms,Fairfield Park Mombasa Road,KSh 17000000
175,"Thika road, Thika Road, Nairobi, Nairobi",3 Bedrooms,3 Bedroom Apartment Touching The Thika Superhighway,KSh 7000000
176,"Nairobi, Nairobi",3 Bedrooms,Executive 3 Bedroom Maisonette for Sale,KSh 45000000
177,"kenyatta road, Thika Road, Nairobi, Nairobi",4 Bedrooms,Kenyatta Road Town House,KSh 25000000
178,"Kiambu Road-Nairobi, Kiambu Road, Nairobi, Nairobi",4 Bedrooms,4 bedroom Standard Houses in Kiambu road.,KSh 26950000
179,"Marula Lane, Karen, Nairobi, Nairobi",10117 Land Size (m²),Karen Prime Vacant Land,KSh 160000000
180,"bomas, Langata, Nairobi, Nairobi",3 Bedrooms,Dorty Apartment - Langata Close To Uchumi Supermarket,KSh 16500000
181,"Ngong Road., Ngong Road, Nairobi, Nairobi",1 Rooms (total),"Commercial Space For Sale 909 Sq Ft ( Ready Tenant Monthly Income 519,194)",Contact seller for price
182,"Mahogany Road, Malindi, Kilifi, Coast",4 Bedrooms,Luxurious Off-Plan Home For Sale,KSh 18000000
183,"Suguta Road Kileleshwa, Kileleshwa, Nairobi, Nairobi",1 Bedrooms,Crystal Luxury Suite One (1) Bedroom Apt,KSh 10500000
184,"Ongata Rongai, Ongata Rongai, Rift Valley",4 Bedrooms,4 Bedroom House for Sale in Ongata Rongai-Rimpa.,KSh 10000000
185,"Neem Rd Malindi, Malindi, Kilifi, Coast",2 Bedrooms,2 Bedroom Apartment For Sale In Malindi,KSh 3700000
186,"Runda, Nairobi, Nairobi",4 Bedrooms,Kencom Sacco Homes-Runda,KSh 37000000
187,"O'washika Road, Lavington, Nairobi, Nairobi",5 Bedrooms,A Magnificent 5 Bedrooms Town house,KSh 85000000
188,"Loresho, Loresho, Nairobi, Nairobi",4 Bedrooms,Charming 4 bedroom town house for sale in Loresho,KSh 28000000
189,"Eliud Mathu, Runda, Nairobi, Nairobi",5 Bedrooms,A Magnificent 5 Bedrooms House,KSh 140000000
190,"Ngong Road, Nairobi, Nairobi",NO175LA87RAMINTRESKE-NEW Object ID,55 Acres Ngong Township Quick Sale,KSh 8000000
191,"Nyika Rd Kitengela, Kitengela, Kajiado, Rift Valley",3 Bedrooms,3 Bedroom Townhouse For Sale In Kitengela,KSh 10900000
192,"Kwale, Funzi, Funzi, Coast",1 Bedrooms,1 Bedroom House For Sale In Funzi Island,KSh 9000000
193,"Diani Beach, Diani, Mombasa, Coast",10115 Land Size (m²),Vacant Land For Sale In Diani,KSh 15500000
194,"Kizingo, , Mombasa, Coast",3 Bedrooms,"Sea Facing 3 Bedroom Premium Apartments For Sale In Mombasa Kizingo - 3br @ 26m, Penthouse @ 45m",KSh 26000000
195,"Lavington, Nairobi, Nairobi",3601 Land Size (m²),Prime Land for sale  in Lavington,KSh 170000000
196,"Near Watamu Villas, Watamu, Watamu, Coast",1012 Land Size (m²),Vacant Land For Sale In Watamu,KSh 3700000
197,"Runda, Nairobi, Nairobi",4 Bedrooms,Kencom Sacco Estate Runda,KSh 37000000
198,"Jasmine Gardens, Diani, Mombasa, Coast",2023 Land Size (m²),Vacant Land For Sale In Diani,KSh 5700000
199,"Ruiru, Ruiru, Ruiru, Central",NO462LA36YXJINTRESKE-NEW Object ID,Land at  Ruiru Greens Phase 1,KSh 3000000
200,"Kilimani, Nairobi, Nairobi",4 Bedrooms,"4 Bedrooms, 4 bathrooms Kilimani Apartments for sale in Nairobi",KSh 21000000
201,"Juja, Ruiru, Ruiru, Central",4 Bedrooms,House At Juja South Estate,KSh 12000000
202,"Resolving Address. . ., Galu Beach, Galu, Coast",3 Bedrooms,3 Bedroom House For Sale In Galu,KSh 19900000
203,"Gigiri, Gigiri, Nairobi, Nairobi",5 Bedrooms,5 Bedroom Townhouse – Ansellia Close,KSh 140000000
204,"Karen, Karen, Nairobi, Nairobi",2024 Land Size (m²),Prime 1/2 Acre Plot  of Land in Karen - Fair Arces,KSh 30000000
205,"Mombasa Raod - Athi River, Athi River, Machakos, Eastern",3 Bedrooms,Sunset Boulevard- Athi- River,KSh 6700000
206,"Diani Beach, Diani, Mombasa, Coast",3 Bedrooms,3 Bedroom House For Sale In Diani,KSh 15000000
207,"Nairobi - Namanga, Athi River, Athi River, Eastern",4 Bedrooms,4 Bedroom Townhouse For Sale In Kitengela,KSh 15500000
208,"Karen Ridge, Karen, Nairobi, Nairobi",5 Bedrooms,"Ultra-Modern And Exquisite 5 Bedroom Mansion In Karen, Ridge",KSh 70000000
209,"Unnamed Road, Kitengela, Kajiado, Rift Valley",405 Land Size (m²),Vacant Land For Sale In Kitengela,KSh 490000
210,"Unnamed Road Kajiado County, Kitengela, Kajiado, Rift Valley",486 Land Size (m²),Vacant Land For Sale In Kitengela,KSh 1500000
211,"Karen, Nairobi, Nairobi",2024 Land Size (m²),House For Sale In Karen,KSh 70000000
212,"Ololua Ngong, Ngong Township, Ngong Township, Rift Valley",5 Bedrooms,5 bedroom house for sale in Ngong -ololua.,KSh 16500000
213,"Kilimani, Kilimani, Nairobi, Nairobi",3 Bedrooms,Beautiful 3 Bedroom Apartment at Riara Road,KSh 20000000
214,"Juja Farm, Juja, Kiambu, Central",2 Bedrooms,Gem Juja- Off- Plan Houses- 3 Bedroom,KSh 3500000
215,"Riverside, Nairobi, Nairobi",3 Bedrooms,Oyster Paradise Riverside,KSh 28000000
216,"Mlolongo, Nairobi, Nairobi",4 Bedrooms,The Riverine Kitengela,KSh 15000000
217,"Membley Estate, Ruiru, Ruiru, Central",4 Bedrooms,4 Bedroom Town-House For Sale In Ruiru,KSh 20000000
218,"Karen, off Ngong Road near the KCB training centre, Karen, Nairobi, Nairobi",4 Bedrooms,4 Bedroom Artistically Designed Townhouses For Sale in Karen,KSh 65000000
219,"Nkoroi,Ongata Rongai, Ongata Rongai, Kajiado, Rift Valley",3 Bedrooms,Outstanding 3 Bedroom House in Ongata Rongai- Nkoroi,KSh 7500000
220,"Runda, Nairobi, Nairobi",4 Bedrooms,Runda Gardens Townhouse,KSh 37000000
221,"Karen, Nairobi, Nairobi",4 Bedrooms,Elegant 4 bedroom for sale in Karen,KSh 75000000
222,"Diani Beach, South coast, Coast",10300 Land Size (m²),2.5 Acre land for sale in Diani on 4th row behind Chandarana,KSh 5000000
223,"Juja, Juja, Kiambu, Central",3 Bedrooms,Beautiful 3 Bedroom Townhouses In Juja,KSh 5000000
224,"Diani Beach Rd, southern end, Diani, Mombasa, Coast",2 Bedrooms,"2 b/r cottage on 1/2 acre, pool, central Diani 300m to beach",KSh 26109713
225,"Karen, Karen, Nairobi, Nairobi",5 Bedrooms,5 Bedroom House for sale in Karen - 3ke1341815,KSh 70000000
226,"kileleshwa, Kileleshwa, Nairobi, Nairobi",3 Bedrooms,Newly Built Spacious 3 Bedroom Apartment  In Kileleshwa,KSh 22000000
227,"Runda, Kiambu, Kiambu, Central",4 Bedrooms,Runda Paradise,KSh 22000000
228,"parklands, Parklands, Nairobi, Nairobi",3 Bedrooms,For Sale - Three Bedroom Apartment In Parklands,KSh 19000000
229,"2 Bedroom Very Spacious & Exclusive Penthouse For Sale In Parklands, Parklands, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Very Spacious & Exclusive Penthouse For Sale In Parklands,KSh 19000000
230,"Kileleshwa, Kileleshwa, Nairobi, Nairobi",2 Bedrooms,2 Bedroom Apartment For Sale In Kileleshwa-3ke1276282,KSh 16000000
