,yearID,HR
0,1884,0
1,1884,1
2,1884,0
3,1885,0
4,1885,0
5,1885,1
6,1885,1
7,1886,0
8,1886,1
9,1886,0
10,1886,0
11,1886,3
12,1886,0
13,1886,0
14,1887,1
15,1887,0
16,1887,1
17,1887,3
18,1887,1
19,1887,0
20,1888,0
21,1888,1
22,1888,1
23,1888,0
24,1888,1
25,1888,0
26,1888,3
27,1888,0
28,1888,0
29,1889,3
30,1889,0
31,1889,1
32,1889,2
33,1889,2
34,1889,3
35,1889,1
36,1889,0
37,1889,1
38,1890,0
39,1890,0
40,1890,1
41,1890,0
42,1890,0
43,1890,0
44,1892,0
45,1892,0
46,1892,1
47,1892,1
48,1892,1
49,1892,1
50,1903,0
51,1903,0
52,1903,1
53,1903,0
54,1903,1
55,1903,0
56,1903,0
57,1903,1
58,1905,0
59,1905,0
60,1905,0
61,1905,0
62,1905,0
63,1905,0
64,1906,0
65,1906,0
66,1906,0
67,1906,0
68,1906,0
69,1906,0
70,1906,0
71,1906,0
72,1907,0
73,1907,0
74,1907,0
75,1907,0
76,1907,0
77,1907,0
78,1907,0
79,1907,0
80,1908,0
81,1908,0
82,1908,0
83,1908,0
84,1908,1
85,1908,0
86,1908,0
87,1908,0
88,1908,0
89,1909,0
90,1909,1
91,1909,1
92,1909,0
93,1909,0
94,1909,2
95,1909,0
96,1909,0
97,1909,0
98,1909,0
99,1909,0
100,1910,0
101,1910,0
102,1910,1
103,1910,0
104,1910,0
105,1910,0
106,1910,0
107,1910,0
108,1910,0
109,1911,0
110,1911,0
111,1911,2
112,1911,1
113,1911,0
114,1911,0
115,1911,0
116,1911,0
117,1912,0
118,1912,0
119,1912,1
120,1912,0
121,1912,0
122,1912,0
123,1912,0
124,1912,0
125,1912,0
126,1912,1
127,1913,1
128,1913,0
129,1913,1
130,1913,0
131,1913,0
132,1913,1
133,1913,0
134,1913,0
135,1914,0
136,1914,0
137,1914,0
138,1914,0
139,1914,1
140,1914,0
141,1914,0
142,1914,0
143,1914,0
144,1915,1
145,1915,0
146,1915,0
147,1915,0
148,1915,0
149,1915,1
150,1915,2
151,1916,0
152,1916,0
153,1916,0
154,1916,1
155,1916,0
156,1916,0
157,1916,1
158,1916,0
159,1916,1
160,1916,0
161,1916,0
162,1916,0
163,1917,0
164,1917,1
165,1917,1
166,1917,0
167,1917,0
168,1917,0
169,1917,0
170,1917,0
171,1917,1
172,1917,0
173,1917,0
174,1918,0
175,1918,0
176,1918,0
177,1918,0
178,1918,0
179,1918,0
180,1918,0
181,1918,0
182,1919,0
183,1919,0
184,1919,0
185,1919,0
186,1919,0
187,1919,0
188,1919,0
189,1919,1
190,1919,0
191,1919,0
192,1919,0
193,1919,0
194,1919,0
195,1920,0
196,1920,2
197,1920,0
198,1920,0
199,1920,0
200,1920,0
201,1920,0
202,1920,0
203,1920,0
204,1920,0
205,1920,0
206,1920,0
207,1921,1
208,1921,1
209,1921,0
210,1921,0
211,1921,0
212,1921,2
213,1921,0
214,1921,0
215,1921,0
216,1921,0
217,1921,0
