name,county,ward_code,ward_name,political_party,gender
ABDIRAHMAN ABDIRASHID,NAIROBI CITY,1384,SOUTH C,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ABDIRAHMAN AHMED ABDULLAHI,WAJIR,167,GODOMA,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Male
ABDIRAHMAN JABIR AHMED,MANDERA,213,NEBOI.,KENYA AFRICAN NATIONAL UNION,Male
ABDIRAHMANI ABDI HUSSEIN,NAIROBI CITY,1437,AIRBASE,FEDERAL PARTY OF KENYA,Male
ABDOW IBRAHIM AHMED,MANDERA,194,DANDU,ECONOMIC FREEDOM PARTY,Male
ABDULAHI MOHAMUD,BUSIA,1127,ANG'OROM,AMANI NATIONAL CONGRESS,Male
ABDULATIF MOHAMED,KILIFI,57,MNARANI,KENYA AFRICAN NATIONAL UNION,Male
ABDULKADIR HASSAN SALIM,NAIROBI CITY,1388,MAKINA,UNITED DEMOCRATIC PARTY,Male
ABDULLA ABDIRAHMAN ADAN,MANDERA,209,ELWAK NORTH,ECONOMIC FREEDOM PARTY,Male
ABDULLA HASSAN ABDULLAHI,MANDERA,193,LAGSURE,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDULLA HASSAN IBRAHIM,TANA RIVER,97,HIRIMANI,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDULLA SHOMA KOFIRO,TANA RIVER,95,WAYU,MAZINGIRA GREENS PARTY OF KENYA,Male
ABDULLAHI ABDI RASHID,WAJIR,169,TOWNSHIP,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDULLAHI ABDIFATAH SAMBUR,GARISSA,160,MASALANI,WIPER DEMOCRATIC MOVEMENT- KENYA,Male
ABDULLAHI ABDIRASHID SHEIKH,GARISSA,131,WABERI,NATIONAL RAINBOW COALITION- KENYA,Male
ABDULLAHI ADAN MAALIM,MANDERA,212,TOWNSHIP.,ECONOMIC FREEDOM PARTY,Male
ABDULLAHI ALINOOR DEROW,MANDERA,206,WARGADUD,ECONOMIC FREEDOM PARTY,Male
ABDULLAHI BILLOW MAALIM,TRANS NZOIA,679,BIDII,AMANI NATIONAL CONGRESS,Male
ABDULLAHI GARAD ISMAIL,TANA RIVER,92,KINAKOMBA,KENYA AFRICAN NATIONAL UNION,Male
ABDULLAHI HASSAN MOHAMED,WAJIR,179,GANYURE WAGALLA,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDULLAHI IBRAHIM ABASS,WAJIR,180,ELDAS,PARTY FOR DEVELOPMENT AND REFORM,Male
ABDULLAHI IBRAHIM BULLE,TANA RIVER,98,BANGALE,KENYA PATRIOTS PARTY,Male
ABDULLAHI KOMORA DHIDHA,TANA RIVER,92,KINAKOMBA,AMANI NATIONAL CONGRESS,Male
ABDULLAHI MOHAMED ISSACK,GARISSA,147,DADAAB,JUBILEE PARTY,Male
ABDULLAHI MOHAMUD OMAR,GARISSA,133,TOWNSHIP,JUBILEE PARTY,Male
ABDULLAHI RUKIA ABDILLE,WAJIR,177,HADADO ATHIBOHOL,PARTY OF DEMOCRATIC UNITY,Female
ABDULLAHI SULEIMAN MOHAMED,GARISSA,137,JARA JARA,KENYA AFRICAN NATIONAL UNION,Male
ABDULLAHI UWES SHEIKH,WAJIR,164,MALKAGUFU,NATIONAL RAINBOW COALITION- KENYA,Male
ABDULLLAHI BISHAR MAALIM,MANDERA,192,TAKABA,ECONOMIC FREEDOM PARTY,Male
ABDULRAHMAN AIDARUS SAYED,KILIFI,63,MARIAKANI,AMANI NATIONAL CONGRESS,Male
ABDULREHMAN KHADIJA KASSIM,MOMBASA,26,MJI WA KALE MAKADARA,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,Female
